name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
HP-20 resin washing,13,True,False,extraction_method=11; modification_method=1; material_used_directly=1,llm,True,high,"HP-20 resin washing is consistently described as a treatment to isolate or purify components, aligning with extraction methods."
Mung bean protein isolate extraction,7,False,False,,,False,,
NaCl extraction,2,True,True,extraction_method=1; material_used_directly=1,llm,True,high,The entity 'NaCl extraction' refers to a method used to isolate proteins from raw biomass.
Osborne extraction method,2,False,False,,,False,,
SP-207 resin washing,10,True,False,extraction_method=8; material_used_directly=2,llm,True,high,"SP-207 resin washing is consistently described as a process for reducing VOCs, aligning with extraction methods."
XAD-16N resin washing,14,True,False,extraction_method=12; modification_method=1; material_used_directly=1,llm,True,high,"XAD-16N resin washing is consistently described as a process for reducing VOCs, aligning with extraction method."
acetic acid extraction,1,False,False,,,False,,
acetic acid or citric acid precipitation,4,False,False,,,False,,
acetic acid precipitation,21,True,True,extraction_method=12; material_used_directly=9,llm,True,high,"Acetic acid precipitation is consistently described as a method to isolate proteins, aligning with 'extraction_method.'"
acid extraction,26,True,False,extraction_method=22; material_used_directly=4,llm,True,high,"The entity 'acid extraction' is consistently described as a method used to isolate proteins from raw biomass, aligning with the definition of 'extraction_method.'"
acid extraction and ultrafiltration,1,False,False,,,False,,
acid precipitation,27,False,False,,,False,,
acid/alkaline extraction,9,False,False,,,False,,
acidic protein isolation,3,False,False,,,False,,
adsorbent resin washing,19,False,False,,,False,,
adsorption and dialysis,2,False,False,,,False,,
alcohol leaching,2,False,False,,,False,,
alcohol precipitation,5,False,False,,,False,,
alkali extraction,20,True,False,extraction_method=19; material_used_directly=1,llm,True,high,The entity 'alkali extraction' is consistently described as a method to obtain protein isolates.
alkaline and salt extraction,11,False,False,,,False,,
alkaline extraction,82,True,False,extraction_method=74; material_used_directly=8,llm,True,high,The entity 'alkaline extraction' is consistently described as a method for obtaining protein from raw biomass.
alkaline extraction and acid precipitation,11,False,False,,,False,,
alkaline extraction with isoelectric precipitation,29,True,False,extraction_method=28; material_used_directly=1,llm,True,high,The entity describes a process used to isolate proteins from raw materials.
alkaline extraction with ultrasound treatment,18,False,False,,,False,,
alkaline hydrogen peroxide extraction,33,True,False,extraction_method=30; material_used_directly=3,llm,True,high,The entity 'alkaline hydrogen peroxide extraction' is consistently described as a method used to obtain or isolate proteins from raw biomass.
alkaline hydrogen peroxide extraction with ultrasound treatment,33,True,False,extraction_method=32; material_used_directly=1,llm,True,high,The entity describes a process used to isolate proteins from raw biomass.
alkaline hydrogen peroxide-assisted extraction,5,False,False,,,False,,
alkaline protein isolation,8,False,False,,,False,,
alkaline solubilization,1,False,False,,,False,,
aqueous extraction,20,False,False,,,False,,
arabinofuranosidase-assisted alkaline extraction,7,True,False,extraction_method=5; material_used_directly=2,llm,True,high,The entity describes a process used to isolate proteins from raw biomass.
cellulase and xylanase cocktail-assisted alkaline extraction,7,True,False,extraction_method=6; material_used_directly=1,llm,True,high,The entity describes a process used to obtain proteins from raw biomass.
centrifugation conditions,2,False,False,,,False,,
citric acid precipitation,22,True,False,extraction_method=16; material_used_directly=6,llm,True,high,"The entity 'citric acid precipitation' is consistently described as a method used to isolate proteins, aligning with the definition of an extraction method."
cold pressing,35,True,False,extraction_method=31; material_used_directly=4,llm,True,high,Cold pressing is consistently described as a method to isolate proteins.
"combined alkaline extraction, ultrafiltration, diafiltration, and isoelectric precipitation",4,False,False,,,False,,
combined ultrasound-assisted and high-pressure-assisted extraction,1,False,False,,,False,,
conventional extraction,1,False,False,,,False,,
corn germ meal albumin protein extraction,1,False,False,,,False,,
de-oiling,2,False,False,,,False,,
defatting and protein isolation,6,False,False,,,False,,
defatting methods,2,False,False,,,False,,
defatting solvent extraction,1,False,False,,,False,,
deoiling,3,False,False,,,False,,
dialysis,1,False,False,,,False,,
different defatting strategies,1,False,False,,,False,,
different solvent extraction methods,1,False,False,,,False,,
dry fractionation,15,True,False,extraction_method=14; material_used_directly=1,llm,True,high,"'Dry fractionation' is consistently described as a method to obtain proteins, aligning with the definition of an extraction method."
enzymatic extraction,15,False,False,,,False,,
ethanol dephenolization,4,False,False,,,False,,
ethanol extraction,1,False,False,,,False,,
extraction,2,False,False,,,False,,
extraction pH,7,False,False,,,False,,
extraction using high-pressure followed by ultrasound treatment,5,False,False,,,False,,
fractionation method,1,False,False,,,False,,
globulin extraction yield,2,False,False,,,False,,
globulin yield,1,False,False,,,False,,
hexane defatting,5,False,False,,,False,,
"hexane defatting, alkaline solubilization, and isoelectric precipitation",1,False,False,,,False,,
hexane deoiling,1,False,False,,,False,,
hexane extraction,13,True,True,extraction_method=7; material_used_directly=6,llm,True,high,Hexane extraction is consistently described as a method for obtaining or isolating oil from biomass.
high-pressure and ultrasound combination treatment,6,False,False,,,False,,
high-pressure-assisted alkaline extraction,8,False,False,,,False,,
