name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
E2,1,False,False,,,False,,
K′,4,False,False,,,False,,
K″,4,False,False,,,False,,
K″ / K′ ratio,1,False,False,,,False,,
Young modulus,6,False,False,,,False,,
Young's modulus,6,False,False,,,False,,
ability to form a network,1,False,False,,,False,,
acid coagulation behavior,1,False,False,,,False,,
adhesiveness,5,False,False,,,False,,
apparent viscosity,43,True,False,rheological_property=39; functional_property=4,llm,True,high,Apparent viscosity is consistently described in terms of flow behavior and shear rate dependence.
breaking force,16,True,False,functional_property=12; rheological_property=4,llm,True,high,Breaking force is consistently linked to gel strength and mechanical properties.
breaking strength,5,True,False,rheological_property=4; functional_property=1,llm,True,high,"Breaking strength is consistently described as a measure of mechanical resistance, aligning with rheological properties."
brittleness,4,False,False,,,False,,
chewability,2,False,False,,,False,,
chewiness,29,True,False,rheological_property=28; functional_property=1,llm,True,high,Chewiness is consistently described alongside other textural-mechanical measurements like hardness and springiness.
cohesion,2,False,False,,,False,,
cohesiveness,27,True,False,rheological_property=20; functional_property=7,llm,True,high,"Cohesiveness is consistently described in terms of textural and mechanical measurements, aligning with rheological properties."
complex modulus,1,False,False,,,False,,
complex viscosity,3,True,False,functional_property=2; rheological_property=1,llm,True,high,"Complex viscosity is a measure of flow behavior, aligning with rheological properties."
consistency coefficient,3,False,False,,,False,,
consistency index,2,False,False,,,False,,
consistency index K,3,False,False,,,False,,
critical strain,2,False,False,,,False,,
critical strain value,1,False,False,,,False,,
crumb hardness,2,False,False,,,False,,
dense lumps with a fault structure and no fluffy texture,1,False,False,,,False,,
dynamic moduli,1,False,False,,,False,,
elastic behavior,1,False,False,,,False,,
elastic modulus,10,True,False,functional_property=8; rheological_property=2,llm,True,high,"Elastic modulus is a measure of a material's ability to resist deformation, fitting the definition of rheological property."
elastic stability,1,False,False,,,False,,
elastic surface film behavior,1,False,False,,,False,,
elasticity,12,True,False,rheological_property=8; functional_property=4,llm,True,high,Elasticity is consistently described in terms of deformation behavior and measured using rheological techniques.
elasticity at the pseudo-equilibrium gelation point,1,False,False,,,False,,
elongation at break,1,False,False,,,False,,
energy storage modulus,2,False,False,,,False,,
energy storage modulus (G'),1,False,False,,,False,,
fibrous muscle meat-like texture,3,False,False,,,False,,
film resistance,1,False,False,,,False,,
final storage modulus (G′),7,False,False,,,False,,
final viscosity,2,False,False,,,False,,
firmness,1,False,False,,,False,,
firmness loss,1,False,False,,,False,,
flow behavior index,2,False,False,,,False,,
"flow behavior, dynamic rheological properties, and water-holding capacity",20,False,False,,,False,,
flow behaviour changes,1,False,False,,,False,,
flow index,2,False,False,,,False,,
flow resistance,1,False,False,,,False,,
flow stress,4,False,False,,,False,,
foam compactness,1,False,False,,,False,,
foam firmness,1,False,False,,,False,,
fracture deformation,1,False,False,,,False,,
fracture strain,1,False,False,,,False,,
fracture stress,7,True,False,rheological_property=6; functional_property=1,llm,True,high,Fracture stress is consistently discussed in the context of gel strength and deformation behavior.
frequency dependence,2,False,False,,,False,,
frequency dependency of storage modulus (G′),1,False,False,,,False,,
frequency sweep slope,1,False,False,,,False,,
frequency-dependent behavior,1,False,False,,,False,,
friction coefficient,3,True,False,functional_property=2; rheological_property=1,llm,True,high,"The friction coefficient is related to flow and deformation behavior, aligning with rheological properties."
gel firmness,6,True,False,functional_property=4; rheological_property=2,llm,True,high,"'Gel firmness' is consistently described as a measure of the gel's mechanical strength or deformation behavior, aligning with rheological properties."
gel hardness,27,True,False,functional_property=25; rheological_property=2,llm,True,high,"'Gel hardness' is a textural-mechanical measurement, aligning with rheological properties."
gel homogeneity,1,False,False,,,False,,
gel network collapse,1,False,False,,,False,,
gel network density,1,False,False,,,False,,
gel network quality,1,False,False,,,False,,
gel network strengthening,1,False,False,,,False,,
